experiment	source_iteration	timestamp_ist	macro_f1	accuracy	unparsed	decision	description
1	2	2026-07-24 08:26:54 IST	0.2956	0.5300	52/200	discarded	Llama-3.1-Nemotron-Nano-8B + 4-bit QLoRA, generative classification, full 60k train
2	3	2026-07-24 13:12:21 IST	0.7548	0.8750	0/200	kept	60k train: 768-token context with target labels always retained
3	4	2026-07-24 17:14:00 IST	0.6801	0.8450	0/200	discarded	60k train: complete 1-epoch cosine schedule within time budget
4	5	2026-07-24 21:36:27 IST	0.7941	0.9000	0/200	kept	60k train: complete 2-epoch cosine schedule without internal time cutoff
5	6	2026-07-25 02:48:02 IST	0.8018	0.9050	0/200	kept	60k train: extend LoRA adapters from attention to MLP projections
6	7	2026-07-25 12:33:11 IST	0.8246	0.9150	0/200	kept	60k train: increase expanded-adapter LoRA rank from 16 to 32
